contenido,url,fecha_captura
"VER OFERTA |  | Sr. Service Desk Especialist |  | SALARIO | Hasta €35K | VARIABLE | €2,838K | UBICACIÓN | Madrid | y | TELETRABAJO | 60% | 🌎 Equipo internacional | 🏠 Híbrido | 🕐 Horario Flexible | ⛰️ Sólida en su sector",https://www.getmanfred.com/ofertas-empleo/8239/namirial-senior-servidesk-specialist-ene26,2026-01-20
VER OFERTA |  | QA Automation |  | SALARIO | Hasta €45K | REMOTO | 100% | 💎 Calidad | 📈 Empresa en crecimiento | 🌎 Equipo internacional | 💪 Reto técnico,https://www.getmanfred.com/ofertas-empleo/8235/fcm-qa-automation-ene26,2026-01-20
VER OFERTA |  | Tech Lead Back |  | SALARIO | €55-65K | UBICACIÓN | Madrid | 📈 Empresa en crecimiento | 🌎 Equipo internacional | ⛰️ Sólida en su sector | 💪 Reto técnico,https://www.getmanfred.com/ofertas-empleo/8112/eri-bancaire-tech-lead-back-nov25,2026-01-20
VER OFERTA |  | Growth Consultant |  | SALARIO | Hasta €35K | VARIABLE | €5K | REMOTO | 100% | 🙌 Buen ambiente | ☄️ Crecimiento profesional | 📈 Empresa en crecimiento | 🌎 Remoto 100% en España,https://www.getmanfred.com/ofertas-empleo/8229/ebolution-growth-consultant-dic25,2026-01-20
VER OFERTA |  | .NET Developer |  | SALARIO | Hasta €40K | UBICACIÓN | Nigrán | y | TELETRABAJO | 40% | 🤓 Aprendizaje continuo | 👌 Cultura | 📚 Formación | 🕐 Horario Flexible | 👽 Innovación,https://www.getmanfred.com/ofertas-empleo/8226/marine-instruments-net-developer-dic25,2026-01-20
VER OFERTA |  | .Net Developer |  | SALARIO | €35-45K | UBICACIÓN | Madrid | y | TELETRABAJO | 50% | 🙌 Buen ambiente | 👌 Cultura | 🏠 Híbrido,https://www.getmanfred.com/ofertas-empleo/7681/quasar-net-developer-abr25,2026-01-20
VER OFERTA |  | Frontend Shopify Engineer |  | SALARIO | €40-50K | UBICACIÓN | Madrid | y | TELETRABAJO | 40% | 🙌 Buen ambiente | 🎈 Creatividad | 🏠 Híbrido | 💪 Reto técnico,https://www.getmanfred.com/ofertas-empleo/8212/cubro-design-frontend-shopify-engineer-dic25,2026-01-20
VER OFERTA |  | Tech Lead Java |  | SALARIO | €45-55K | REMOTO | 100% | 🏠 Híbrido | 💥 Liderazgo | 🎯 Producto | 🌎 Remoto 100% en España | 💪 Reto técnico | ⛰️ Sólida en su sector,https://www.getmanfred.com/ofertas-empleo/8209/tier1-tech-lead-java-dic25,2026-01-20
VER OFERTA |  | Node Backend Developer |  | SALARIO | Hasta €70K | REMOTO | 100% | 🤓 Aprendizaje continuo | 👌 Cultura | 📈 Empresa en crecimiento | 🎯 Producto | 🌎 Remoto 100% en España,https://www.getmanfred.com/ofertas-empleo/8204/storelink-node-backend-developer-dic25,2026-01-20
VER OFERTA |  | Senior Full-Stack Engineer |  | SALARIO | Hasta €85K | REMOTO | 100% | 🌎 Remoto 100% en España | 🤸 Autonomía | 👌 Cultura | 🌎 Equipo internacional | 💎 Calidad | 🛸 Startup,https://www.getmanfred.com/ofertas-empleo/8191/grayhair-senior-software-engineer-nov25,2026-01-20
VER OFERTA |  | DevOps Engineer |  | SALARIO | Hasta €80K | REMOTO | 100% | 🩺 HealthTech | 🕐 Horario Flexible | 💂 Inglés | 🎯 Producto | 🌎 Remoto 100% en España | 🚀 Scale-up,https://www.getmanfred.com/ofertas-empleo/8180/ifeel-devops-engineer-ene26,2026-01-20
VER OFERTA |  | Architect /Developer Senior .Net |  | SALARIO | Hasta €65K | REMOTO | 100% | o | UBICACIÓN | Madrid | 🙌 Buen ambiente | 🤑 Phantom shares | 🌎 Remoto 100% | ✨ Buenas prácticas,https://www.getmanfred.com/ofertas-empleo/8134/taykus-arquitectoprogramador-senior-net-ene26,2026-01-20
VER OFERTA |  | Senior Backend Engineer |  | SALARIO | Hasta €85K | REMOTO | 100% | ☄️ Crecimiento profesional | 💂 Inglés | 🎯 Producto | 🌎 Remoto 100% en Europa,https://www.getmanfred.com/ofertas-empleo/8233/laserhub-sr-backend-engineer-ene26,2026-01-20
VER OFERTA |  | Senior Software Engineer |  | SALARIO | €70-75K | REMOTO | 100% | 👌 Cultura | 🌎 Equipo internacional | 🌎 Remoto 100% en Europa | 💪 Reto técnico | 🛸 Startup,https://www.getmanfred.com/ofertas-empleo/8225/femtasy-senior-software-engineer-ene26,2026-01-20
VER OFERTA |  | Backend Developer |  | SALARIO | Hasta €45K | UBICACIÓN | Madrid | y | TELETRABAJO | 40% | 🙌 Buen ambiente | 👌 Cultura | 🧭 Plan de carrera,https://www.getmanfred.com/ofertas-empleo/8160/cuimo-backend-developer-dic25,2026-01-20
VER OFERTA |  | Senior Backend Engineer |  | SALARIO | €60-75K | UBICACIÓN | Barcelona | y | TELETRABAJO | 60% | 🌎 Equipo internacional | 🩺 HealthTech | 🏠 Híbrido | 🛸 Startup,https://www.getmanfred.com/ofertas-empleo/8221/masterdoc-senior-backend-engineer-dic25,2026-01-20
VER OFERTA |  | Data Engineer |  | SALARIO | €55-60K | VARIABLE | €6K | UBICACIÓN | Madrid | y | TELETRABAJO | 60% | 🤓 Aprendizaje continuo | 🤸 Autonomía | ☄️ Crecimiento profesional | 👌 Cultura | 🏠 Híbrido | 👽 Innovación | 💪 Reto técnico,https://www.getmanfred.com/ofertas-empleo/8215/pepper-finance-data-engineer-dic25,2026-01-20
VER OFERTA |  | Backend Integration Engineer |  | SALARIO | €45-55K | UBICACIÓN | Madrid | y | TELETRABAJO | 40% | No-stack | 🙌 Buen ambiente | 🎈 Creatividad | 🏠 Híbrido | 💪 Reto técnico,https://www.getmanfred.com/ofertas-empleo/8211/cubro-design-backend-integration-engineer-dic25,2026-01-20
VER OFERTA |  | Java Developer |  | SALARIO | €35-45K | REMOTO | 100% | o | UBICACIÓN | Sevilla | ☄️ Crecimiento profesional | 🏠 Híbrido | 🎯 Producto | 🌎 Remoto 100% en España | ⛰️ Sólida en su sector,https://www.getmanfred.com/ofertas-empleo/8208/tier1-java-developer-dic25,2026-01-20
VER OFERTA |  | Infrastructure Lead |  | SALARIO | €65-75K | VARIABLE | €7K | UBICACIÓN | Madrid | y | TELETRABAJO | 60% | 🤸 Autonomía | ☄️ Crecimiento profesional | 🏠 Híbrido | 💥 Liderazgo | 💪 Reto técnico,https://www.getmanfred.com/ofertas-empleo/8203/pepper-finance-infrastructure-lead-nov25,2026-01-20
VER OFERTA |  | React Native Lead |  | SALARIO | €80-90K | UBICACIÓN | Madrid | y | TELETRABAJO | 50% | 📈 Empresa en crecimiento | 🌎 Equipo internacional | 🎯 Producto | 🛸 Startup,https://www.getmanfred.com/ofertas-empleo/8190/orca-react-native-lead-nov25,2026-01-20
VER OFERTA |  | Senior Tech Lead (Next.js) |  | SALARIO | €60-70K | UBICACIÓN | Madrid | y | TELETRABAJO | 60% | 🙌 Buen ambiente | 👌 Cultura | 📈 Empresa en crecimiento | 🏠 Híbrido | ✨ Buenas prácticas,https://www.getmanfred.com/ofertas-empleo/8178/product-hackers-senior-tech-lead-nextjs-nov25,2026-01-20
VER OFERTA |  | Senior Backend Engineer |  | SALARIO | €60-70K | UBICACIÓN | Madrid | y | TELETRABAJO | 60% | 🏠 Híbrido | 🌎 Equipo internacional | ⛰️ Sólida en su sector,https://www.getmanfred.com/ofertas-empleo/8236/colliers-senior-backend-engineer-ene26,2026-01-20
VER OFERTA |  | Founding Product Engineer |  | SALARIO | Hasta €70K | UBICACIÓN | Madrid | y | TELETRABAJO | 50% | 🤸 Autonomía | 💂 Inglés | 🎯 Producto | 🛸 Startup | 👛 Stock Options,https://www.getmanfred.com/ofertas-empleo/8216/invopop-product-engineer-dic25,2026-01-20
VER OFERTA |  | Mid Data Engineer |  | SALARIO | €45-50K | UBICACIÓN | Madrid | y | TELETRABAJO | 95% | 🤸 Autonomía | ☄️ Crecimiento profesional | 📡 Trabajo asíncrono,https://www.getmanfred.com/ofertas-empleo/8230/twinco-capital-mid-data-engineer-dic25,2026-01-20
VER OFERTA |  | Junior Fullstack Developer |  | SALARIO | €25-33K | UBICACIÓN | Madrid | y | TELETRABAJO | 50% | 🏠 Híbrido | 🕐 Horario Flexible | 🛡️ Seguridad | 🛸 Startup,https://www.getmanfred.com/ofertas-empleo/8227/blackfishid-junior-fullstack-developer-dic25,2026-01-20
VER OFERTA |  | Senior Fullstack Engineer |  | SALARIO | Hasta €90K | UBICACIÓN | Madrid | y | TELETRABAJO | 40% | ☄️ Crecimiento profesional | 🏠 Híbrido | 🤖 IA | 🛸 Startup,https://www.getmanfred.com/ofertas-empleo/8217/interactiveai-senior-fullstack-engineer-ene26,2026-01-20
VER OFERTA |  | Senior Backend Engineer (Python) |  | SALARIO | €55-65K | UBICACIÓN | Madrid | y | TELETRABAJO | 40% | 🏠 Híbrido | 🌞 Impacto social | 🎯 Producto | 🛸 Startup | ✨ Buenas prácticas,https://www.getmanfred.com/ofertas-empleo/8214/dcycle-senior-backend-python-engineer-dic25,2026-01-20
VER OFERTA |  | Tech Lead (PHP) |  | SALARIO | €55-70K | REMOTO | 100% | 🌎 Equipo internacional | 🤖 IA | 💂 Inglés | 🎯 Producto | 🌎 Remoto 100% en España,https://www.getmanfred.com/ofertas-empleo/8147/law-business-research-tech-lead-php-and-ai-oct25,2026-01-20
VER OFERTA |  | CIO |  | SALARIO | €90-120K | UBICACIÓN | Marbella | y | TELETRABAJO | 10% | No-stack | ☄️ Crecimiento profesional | 👌 Cultura | 💪 Reto técnico,https://www.getmanfred.com/ofertas-empleo/8206/fuerte-group-hotels-cio-dic25,2026-01-20
VER OFERTA |  | Devops Engineer |  | SALARIO | Hasta €70K | UBICACIÓN | Madrid | y | TELETRABAJO | 60%,https://www.getmanfred.com/ofertas-empleo/8199/colliers-devops-engineer-nov25,2026-01-20
VER OFERTA |  | Senior Backend Developer |  | SALARIO | Hasta €60K | UBICACIÓN | Madrid | y | TELETRABAJO | 20% | 🤓 Aprendizaje continuo | 🤸 Autonomía | 🏠 Híbrido | 🎯 Producto | 🛸 Startup,https://www.getmanfred.com/ofertas-empleo/8184/kibo-ventures-python-developer-nov25,2026-01-20
VER OFERTA |  | Head of sales |  | SALARIO | Hasta €55K | VARIABLE | €10K | UBICACIÓN | Madrid | y | TELETRABAJO | 70% | 👌 Cultura | 📈 Empresa en crecimiento | 🏠 Híbrido | 🕐 Horario Flexible | 🌞 Impacto social | 💥 Liderazgo | 🎯 Producto | 🛸 Startup,https://www.getmanfred.com/ofertas-empleo/8167/retree-space-solutions-head-of-sales-oct25,2026-01-20
